OBJECTID,businessUnit_name,businessUnit_number,Description,Type,businessUnit_isStoreOpen,Address,City,County,State,Postal Code,businessUnit_status_code,Operation Status,Modified Operating Hours,Pharmacy open to public,Fuel Station open to public,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status,x,y,latitude,longitude
29242,"MOUNTAIN VIEW, AR",1114,WM Supercenter,Retail,True,409 SYLAMORE AVE,MOUNTAIN VIEW,STONE,AR,72560-8607,5,Open,,Y,Y,1114,No,,Yes,,-10252739.06,4282349.5,35.867227,-92.101796
29243,HOHENWALD TN,1115,WM Supercenter,Retail,True,612 E MAIN ST,HOHENWALD,LEWIS,TN,38462-2008,5,Open,,Y,Y,1115,Yes,Available,Yes,Available,-9743656.77,4239875.864,35.557306,-87.528658
29244,DUNCAN OK,1116,WM Supercenter,Retail,True,3393 N 81 HWY,DUNCAN,STEPHENS,OK,73533-1413,5,Open,,Y,Y,1116,No,,Yes,Available,-10906012.15,4099851.67,34.458677,-97.96502
29245,PLANO TX,1117,WM Supercenter,Retail,True,6001 N CENTRAL EXPY,PLANO,COLLIN,TX,75023-4702,5,Open,,Y,Y,1117,No,Available,No,Available,-10764358.21,3902746.294,33.0562546,-96.698189
29246,BALCH SPRINGS TX,1118,WM Supercenter,Retail,True,12300 LAKE JUNE RD,BALCH SPRINGS,DALLAS,TX,75180-1636,5,Open,,Y,Y,1118,No,Available,Yes,Available,-10755176.57,3859761.812,32.7317074,-96.6157053
29247,NAPLES FL,1119,Wal-Mart,Retail,True,3451 TAMIAMI TRL E,NAPLES,COLLIER,FL,34112-4942,2,Open,,Y,Y,1119,No,,Yes,,-9101777.232,3014594.293,26.125135,-81.7625686
29248,STARKVILLE MS,112,WM Supercenter,Retail,True,1010 HIGHWAY 12 W,STARKVILLE,OKTIBBEHA,MS,39759-9167,5,Open,,Y,Y,112,Yes,Available,Yes,Available,-9890906.185,3954450.823,33.441887,-88.851845
29249,GLADSTONE MO,1120,WM Supercenter,Retail,True,7207 N M1 HWY,GLADSTONE,CLAY,MO,64119-5351,5,Open,,Y,Y,1120,No,Available,Yes,Available,-10524777.51,4754013.689,39.2252509,-94.545695
29250,MILLEDGEVILLE GA,1121,WM Supercenter,Retail,True,2592 N COLUMBIA ST,MILLEDGEVILLE,BALDWIN,GA,31061-8709,5,Open,,Y,Y,1121,No,,Yes,Available,-9269043.784,3910765.79,33.116388,-83.265303
29253,EASTANOLLEE GA,1122,WM Supercenter,Retail,True,3886 HIGHWAY 17 ALT,EASTANOLLEE,STEPHENS,GA,30538-3808,5,Open,,Y,Y,1122,No,,Yes,Available,-9271132.137,4102635.223,34.548417,-83.278896
29254,SENECA SC,1123,WM Supercenter,Retail,True,1636 SANDIFER BLVD,SENECA,OCONEE,SC,29678-0906,5,Open,,Y,Y,1123,Yes,,Yes,Available,-9239390.72,4121814.229,34.6897984,-82.9991984
29255,HARTSELLE AL,1124,WM Supercenter,Retail,True,1201 HIGHWAY 31 NW,HARTSELLE,MORGAN,AL,35640-4420,5,Open,,Y,Y,1124,No,Available,No,Available,-9679074.434,4089730.707,34.455998,-86.946889
29257,"NORMAL, IL",1125,WM Supercenter,Retail,True,300 GREENBRIAR DR,NORMAL,MCLEAN,IL,61761-2278,5,Open,,Y,Y,1125,Yes,Available,Yes,Available,-9901766.07,4941088.918,40.5160069,-88.9489583
29258,BOERNE TX,1126,WM Supercenter,Retail,True,1381 S MAIN ST,BOERNE,KENDALL,TX,78006-2846,5,Open,,Y,Y,1126,Yes,Available,Yes,Available,-10989944.59,3475136.417,29.7788846,-98.7243796
29262,MARKSVILLE LA,1128,WM Supercenter,Retail,True,7162 HIGHWAY 1,MARKSVILLE,AVOYELLES,LA,71350-4351,5,Open,,Y,Y,1128,Yes,Available,Yes,Available,-10248348.62,3645183.207,31.102495,-92.061651
29263,"AUSTIN (NW), TX",1129,WM Supercenter,Retail,True,13201 RANCH ROAD 620 N,AUSTIN,TRAVIS,TX,78717-1011,5,Open,,Y,Y,1129,No,Available,No,Available,-10885856.31,3563738.258,30.4474087,-97.8312366
29264,CHICKASHA OK,113,WM Supercenter,Retail,True,2001 S 1ST ST,CHICKASHA,GRADY,OK,73018-6007,2,Open,,Y,Y,113,Yes,Available,Yes,Available,-10901632.06,4168063.587,35.031027,-97.931081
29265,LAURENS SC,1130,WM Supercenter,Retail,True,922 E MAIN ST,LAURENS,LAURENS,SC,29360-3616,5,Open,,Y,Y,1130,Yes,Available,Yes,Available,-9126347.559,4094731.504,34.4891407,-81.9840085
29266,TAYLORSVILLE NC,1131,WM Supercenter,Retail,True,901 NC HIGHWAY 16 S,TAYLORSVILLE,ALEXANDER,NC,28681-8941,5,Open,,Y,Y,1131,Yes,Available,Yes,Available,-9036465.53,4288101.354,35.908919,-81.175949
29267,ASHEBORO NC,1132,WM Supercenter,Retail,True,1226 E DIXIE DR,ASHEBORO,RANDOLPH,NC,27203-8856,5,Open,,Y,Y,1132,No,Available,No,Available,-8882135.528,4258353.955,35.6925731,-79.7888995
29268,ALBEMARLE NC,1133,WM Supercenter,Retail,True,781 LEONARD AVE,ALBEMARLE,STANLY,NC,28001-5257,5,Open,,Y,Y,1133,No,,Yes,Available,-8925117.653,4210175.222,35.339904,-80.175704
29269,DE FUNIAK SPRINGS FL,1134,WM Supercenter,Retail,True,1226 FREEPORT HWY S,DEFUNIAK SPRINGS,WALTON,FL,32435-3396,5,Open,,Y,Y,1134,Yes,Available,Yes,Available,-9587390.365,3594432.532,30.781074,-85.224157
29270,HARTSVILLE SC,1135,WM Supercenter,Retail,True,1150 S 4TH ST,HARTSVILLE,DARLINGTON,SC,29550-0705,5,Open,,Y,Y,1135,Yes,Available,Yes,Available,-8912708.09,4076922.122,34.35764,-80.064158
29271,PORT ALLEN LA,1136,WM Supercenter,Retail,True,3255 LA HIGHWAY 1 S,PORT ALLEN,WEST BATON ROUGE,LA,70767-5858,5,Open,,Y,Y,1136,Yes,Available,Yes,Available,-10154211.85,3557713.168,30.4462191,-91.2102449
29272,HOUSTON (UVALDE) TX,1137,WM Supercenter,Retail,True,13750 EAST FWY,HOUSTON,HARRIS,TX,77015-5929,5,Open,,Y,Y,1137,No,,No,,-10595057.85,3473765.566,29.7701258,-95.1804728
29273,MADISON WI,1138,Wal-Mart,Retail,True,7202 WATTS RD,MADISON,DANE,WI,53719-2302,2,Open,,Y,Y,1138,Yes,Available,Yes,Available,-9964113.779,5319888.149,43.0516777,-89.5091886
29274,MOREHEAD KY,1139,WM Supercenter,Retail,True,200 WALMART WAY,MOREHEAD,ROWAN,KY,40351-7217,5,Open,,Y,Y,1139,No,,No,,-9293169.055,4607921.034,38.201668,-83.4828163
29275,BOONEVILLE MS,114,WM Supercenter,Retail,True,300 WALMART CIR,BOONEVILLE,PRENTISS,MS,38829-1018,5,Open,,Y,Y,114,No,,Yes,,-9858918.53,4120131.386,34.6774552,-88.5642221
29276,"MT.STERLING, KY",1140,WM Supercenter,Retail,True,499 INDIAN MOUND DR,MOUNT STERLING,MONTGOMERY,KY,40353-1096,5,Open,,Y,Y,1140,No,,Yes,Available,-9346154.572,4589184.577,38.0691996,-83.9577892
29277,GREENFIELD IN,1141,WM Supercenter,Retail,True,1965 N STATE ST,GREENFIELD,HANCOCK,IN,46140-1089,5,Open,,Y,Y,1141,No,Available,Yes,Available,-9547500.362,4838764.031,39.8125883,-85.766541
29278,SCOTTSBERG IN,1142,WM Supercenter,Retail,True,1618 W MCCLAIN AVE,SCOTTSBURG,SCOTT,IN,47170-1161,5,Open,,Y,Y,1142,No,,Yes,,-9550710.593,4677051.894,38.6882277,-85.796086
29279,SANDERSVILLE GA,1143,WM Supercenter,Retail,True,1308 S HARRIS ST,SANDERSVILLE,WASHINGTON,GA,31082-6913,5,Open,,Y,Y,1143,Yes,Available,Yes,Available,-9218604.254,3888921.63,32.9519665,-82.8122975
29280,YORK SC,1144,WM Supercenter,Retail,True,970 E LIBERTY ST,YORK,YORK,SC,29745-1662,5,Open,,Y,Y,1144,No,,Yes,,-9040613.294,4161638.814,34.9834635,-81.2132701
29282,MONCKS CORNER SC,1146,WM Supercenter,Retail,True,511 N HIGHWAY 52,MONCKS CORNER,BERKELEY,SC,29461-3132,5,Open,,Y,Y,1146,No,,No,Available,-8903949.25,3923327.925,33.208123,-79.983626
29283,FLIPPIN AR,1147,WM Supercenter,Retail,True,168 WALMART DR,FLIPPIN,MARION,AR,72634-8660,5,Open,,Y,Y,1147,No,,No,Available,-10308686.79,4338572.653,36.2752631,-92.6045654
29284,WICHITA FALLS TX,1148,WM Supercenter,Retail,True,3130 LAWRENCE RD,WICHITA FALLS,WICHITA,TX,76308-1607,5,Open,,Y,Y,1148,Yes,Available,Yes,Available,-10969678.77,4012188.386,33.8761886,-98.5422808
29285,"SAFFORD, AZ",1149,WM Supercenter,Retail,True,755 S 20TH AVE,SAFFORD,GRAHAM,AZ,85546-3322,5,Open,,Y,Y,1149,No,,No,Available,-12215115.11,3873119.61,32.8327592,-109.7301121
29286,"WEST POINT, MS",115,WM Supercenter,Retail,True,5509 HIGHWAY 45 ALT S,WEST POINT,CLAY,MS,39773-9353,5,Open,,Y,Y,115,No,,Yes,,-9869801.012,3973441.632,33.578925,-88.659318
29287,COLLEGE STATION TX,1150,WM Supercenter,Retail,True,1815 BROTHERS BLVD,COLLEGE STATION,BRAZOS,TX,77845-5413,5,Open,,Y,Y,1150,No,Not Available,No,Not Available,-10720073.87,3580557.083,30.5971125,-96.3000775
29288,KANSAS CITY KS,1151,WM Supercenter,Retail,True,10824 PARALLEL PKWY,KANSAS CITY,WYANDOTTE,KS,66109-3649,5,Open,,Y,Y,1151,Yes,Available,Yes,Available,-10556403.49,4740591.663,39.1326961,-94.8301114
29289,SIOUX CENTER IA,1152,WM Supercenter,Retail,True,255 16TH ST SW,SIOUX CENTER,SIOUX,IA,51250-2959,5,Open,,Y,Y,1152,No,,Yes,,-10706805.92,5321076.47,43.0600424,-96.1807076
29290,MACON GA,1153,WM Supercenter,Retail,True,6020 HARRISON RD,MACON,BIBB,GA,31206-4742,5,Open,,Y,Y,1153,Yes,,Yes,,-9319414.406,3869987.343,32.8091766,-83.7178249
29291,FREDERICKSBURG TX,1154,WM Supercenter,Retail,True,1435 E MAIN ST,FREDERICKSBURG,GILLESPIE,TX,78624-5273,5,Open,,Y,Y,1154,Yes,Available,Yes,Available,-11004211.3,3536394.366,30.255149,-98.8525116
29292,LUMBERTON NC,1155,WM Supercenter,Retail,True,5070 FAYETTEVILLE RD,LUMBERTON,ROBESON,NC,28358-2108,5,Open,,Y,Y,1155,No,Not Available,No,Not Available,-8794878.524,4118312.235,34.6640505,-79.0060198
29293,MOORESVILLE NC,1156,WM Supercenter,Retail,True,169 NORMAN STATION BLVD,MOORESVILLE,IREDELL,NC,28117-6396,5,Open,,Y,Y,1156,Yes,Not Available,Yes,Available,-9000723.179,4244271.181,35.5895326,-80.8549909
29294,N VERNON IN,1157,WM Supercenter,Retail,True,2410 N STATE HWY 3,NORTH VERNON,JENNINGS,IN,47265-6589,5,Open,,Y,Y,1157,No,,Yes,,-9533118.217,4724564.46,39.020324,-85.639976
